ID;Descrição;Preço em R$
88;HD Seagate 8TB Servidor Exos 7E10, 7200 RPM, 256MB, 3.5, SATA, 6GB/s, 512E , 4KN - ST8000NM019B;1.831,08
89;HD Interno WD Gold Enterprise Class, 4TB, 7200 RPM, 3.5´, SATA - WD4003FRYZ;1.199,99
90;Case HD 2.5 Polegadas E Sata SSD, USB 3.0, Transparente;36,90
91;Case para HD Externo 2,5 C3Tech, SATA, USB 3.0, Cinza - CH-350CB;54,99
92;HD WD Red, 16TB, 3.5, NAS, Cache 512Mb, 7200 RPM, SATA - WD161KFGX;2.199,99
93;HD Seagate 1TB Barracuda, 7200 RPM, Cachê 64MB, SATA III, 6GB/s - ST1000DM010;365,00
94;HD Seagate 1TB Barracuda, 7200 RPM - ST1000DM010;355,95
95;Case Gaveta Ssd Para Sata M2 Exbom;71,00
96;HD Western Digital 4TB Purple Surveillance, 3.5, SATA - WD40PURZ;899,00
97;HD WD Red 1TB NAS, 3.5', SATA - WD10EFRX;389,99
98;Gaveta HD Mymax 3.5pol, USB 3.0, Preto;87,91
99;Disco Rígido Externo Seagate Games, Drive For Xbox Stea2000403, Verde;504,06
100;Case Externa F3 para HD SATA 2.5, Type-c, USB Até 4TB, Transparente - CS-TY01;69,99
101;Hd Externo Toshiba Canvio Basics, 1TB, USB 3.0, Preto - HDTB510XK3AA;302,90
102;HD Externo Toshiba 4TB Canvio Ready, USB 3.0, Preto - HDTP340XK3CA;689,99
103;HD Dell Sas, 300GB, 10k 6gbs 2.5 Pghjg, 0pghjg, St300mm006;820,00
104;HD Seagate 6TB IronWolf, NAS - ST6000VN001;1.416,00
105;HD Wd Purple Surveillance, 6TB, 3.5 - Wd64purz;1.176,90
106;HD Western Digital 18TB Purple PRO, 7200 RPM, 3.5, SATA 3 - WD181PURP;3.956,40
107;HD Western Digital 500GB Scorpio Blue, SATA 3, Para Notebook - Wd5000lpzx;104,39
108;Storage Asustor 1.4GHz, 1GB DDR4, Rede 2.5 Gigabit,Torre 2 Baias - AS1102T;1.699,99
109;Storage Qnap 1 Baia 1.8ghz 2GB 64bits - Ts-133-us;1.079,91
110;Storage Asustor 1GB DDR4, 1.4Ghz, 2.5 Gigabit, Torre 2 Baias - AS1102T;1.619,84
111;HD Externo Seagate Expansion, 12TB, USB, Preto - STKP12000400;1.899,99
112;Storage Synology NAS DS423+, 2.7GHz, 2GB, DDR4, Torre, 4 Baias - DS423+;4.699,99
113;Storage Qnap 2.0 Ghz 2GB 64bits 2 Baias - Ts-233-us;2.035,32
114;HD Externo Seagate Expansion, 500GB, 2.5 Polegadas, Preto - MStea500400;252,06
115;HD Externo Portátil Seagate 6TB Expansion Desktop, USB 3.0, Preto - STKP6000400;1.106,29
116;Gaveta Adaptadora Caddy Hd E Ssd Para Notebook 12.7mm - Mymax;17,51
117;HD Interno Seagate Ironwolf, 12TB, Para Nas, 7200rpm, 256mb Cache, Sata 6gb/s - St12000vn0008;1.986,28
118;HD Toshiba Surveillance S300, 2TB, 5400 RPM, SATA - HDWT720UZSVA;509,99
119;HD Seagate 6TB Servidor Exos 7E10, 7200RPM, 256MB, 3.5, SATA, 6GB/s, 512N - ST6000NM000B;1.591,42
