ID;Descrição;Preço em R$
123;Memória Corsair Vengeance LPX 32GB 3000MHz, DDR4, C16, Preto - CMK32GX4M1D3000C16;489,99
124;Memória Kingston Fury Beast RGB, 32GB (2x16GB), 3600MHz, DDR4, CL18, Preto - KF436C18BB2AK2/32;679,99
125;Memória Corsair Vengeance LPX 16GB (2x8GB), 3000MHz, DDR4, CL15, Preto - CMK16GX4M2B3000C15;309,99
126;Memória Kingston Fury Beast, 16GB (2x8GB), 2666MHz, DDR4, CL16, Preto - KF426C16BBK2/16;329,99
127;Memória Husky Gaming Storm RGB, 8GB, 3200MHz, DDR4 - CL22, Dourada - HGMF019;164,99
128;Memória Kingston Fury Beast, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1A/16;263,05
129;Memória Colorful, 8GB, 3200MHz, DDR4, CL22;104,72
130;Memória Kingston Fury Beast, 8GB, 3600MHz, DDR4, CL17, Preto - KF436C17BB/8;179,99
131;Memória Corsair Vengeance, 32GB (2x16GB), 4800MHz, DDR5, C40, para Notebook, Preto  - CMSX32GX5M2A4800C40;699,99
132;Memória Corsair, 8GB, 1600MHz, DDR3, CL11 - CMV8GX3M1A1600C11;209,99
133;Memória Crucial Basics, 16GB, 2666MHz, DDR4, CL19 - CB16GU2666;229,99
134;Memória Corsair Value Select 4GB, 2133MHz, DDR4, CL15, para Notebook - CMSO4GX4M1A2133C15;99,99
135;Memória Corsair, 4GB, 1333MHz, DDR3, CL9 - CMV4GX3M1A1333C9;119,99
136;Memória Corsair Vengeance RGB PRO SL, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - CMH32GX4M2E3200C16;659,99
137;Memória Kingston Fury Beast para Intel XMP, 32GB (2x16GB), 6000MHz, DDR5, CL40, Preto - KF560C40BBK2-32;999,99
138;Memória Lexar, 8GB, 3200MHz, DDR4, CL22 - LD4AU008G-B3200GSST;119,99
139;Memória Husky Gaming Storm RGB, 16GB, 3200MHz, DDR4 - CL22, Preto - HGMF021;249,99
140;Memória Kingston Fury Beast, RGB, 32GB (2x16GB), 3600MHz, DDR4, CL18, Preto - KF436C18BBAK2/32;699,99
141;Memória Lexar Ares, RGB, 32GB (2x16GB), 5600MHz, DDR5, CL32, Preto - LD5AU016G-R5600GDGA;749,99
142;Memória XPG Gammix D60G RGB, 8GB, 3200MHz, DDR4, CL16, Cinza - AX4U32008G16A-ST60;219,99
143;Memória Kingston, 16GB, 2666MHz, DDR4, CL19 - KVR26N19D8/16;239,99
144;Memória Crucial Basics, 4GB, 2666MHz, DDR4, CL19, para Notebook - CB4GS2666;79,99
145;Memória Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8;139,91
146;Memória XPG Gammix D35, 16GB, 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-SWHD35;269,99
147;Memória Corsair Dominator Platinum RGB, 32GB (2x 16GB), 5200MHz, DDR5, C40, Preto - CMT32GX5M2B5200C40;949,99
148;Memória Lancer XPG, 16GB, 5200MHz, DDR5, CL38, Preto - AX5U5200C3816G-CLABK;399,99
149;Memória Kingston Fury Beast para Intel XMP, RGB, 16GB, 6000MHz, DDR5, CL40, Preto - KF560C40BBA-16;559,99
150;Memória Corsair Vengeance RGB RS, 8GB, 3200MHz, DDR4, C16, Preto - CMG8GX4M1E3200C16;189,99
151;Memória Kingston, 4GB, 1333MHz, DDR3, Para Notebook - KVR1333D3S9/4G;47,39
152;Memória Corsair Vengeance LPX 16GB, 2400MHz, DDR4, CL14, Preto - CMK16GX4M1A2400C14;269,99
153;Memória XPG Spectrix D50, 16GB, 3200MHz, DDR4, RGB, CL 16, Cinza - AX4U320016G16A-ST50;329,99
154;Memória Corsair Vengeance RGB PRO SL, 16GB (2x8GB), 3200MHz, DDR4, CL16, Preto - CMH16GX4M2E3200C16;399,99
155;Memória Kingston Fury Beast, 64GB (2x32GB), 3600MHz, DDR4, CL18, Preto - KF436C18BBK2/64;1.199,99
156;Memória XPG Spectrix D50 RGB, 8GB, 3200MHz, DDR4, CL16, Branco - AX4U32008G16A-SW50;229,99
157;Memória Crucial, 8GB, 2666MHz, DDR4, CL19 - CB8GU2666;120,29
158;Memória Corsair Vengeance LPX, 16GB (2x8GB), 3200MHz, DDR4, CL16, Branco - CMK16GX4M2B3200C16W;319,99
159;Memória Kingston Fury Impact, 16GB, 5600MHz, DDR5, CL40, para Notebook Gamer, Preto - KF556S40IB-16;479,99
160;Memória Kingston Fury Impact, 64GB (2x 32GB), 5600MHz, DDR5, CL40, para Notebook Gamer, Preto - KF556S40IBK2-64;1.799,99
161;Memória ADATA 8GB, 3200MHz, DDR4 - AD4U32008G22 SGN;142,90
162;Memória Corsair, 8GB, 2666MHz, DDR4, C18, Preto - CMV8GX4M1A2666C18;149,99
163;Memória Kingston Fury Beast para Intel XMP, RGB, 64GB (2x32GB), 5600MHz, DDR5, CL40, Preto - KF556C40BBAK2-64;1.799,99
164;Memória Corsair Vengeance, RGB, 32GB(2X16GB), 5600MHz, DDR5, C36, Preto - CMH32GX5M2B5600Z36K;999,99
165;Memória Ram Kingston Fury Beast, 8GB, 3200MHZ, DDR4, Preto - KF432C16BB/8;218,45
166;Memória Husky Gaming Storm RGB, 16GB, 3200MHz, DDR4 - CL22, Dourada - HGMF022;249,99
167;Memória Ram Kingston Fury Beast, 16GB, DDR4, 3200MHZ, Preto - kf432c16bb/16;379,76
168;Memória Oxy, 8GB, 1333MHz, DDR3, CL9 - OXY1333D3N9/8G;85,41
169;Memória Kingston Fury Beast para Intel XMP, 16GB, 5200MHz, DDR5, CL40, Preto - KF552C40BB-16;459,99
170;Memória Kingston Fury Beast, RGB, 16GB, 3200MHz, DDR4, CL16 - KF432C16BBA/16;263,05
171;Memória XPG Spectrix D50 RGB, 8GB, 3200MHz, DDR4, CL16, Cinza - AX4U32008G16A-ST50;199,99
172;Memória Kingston Fury Renegade, RGB, 8GB, 3600MHz, DDR4, CL16, Preto - KF436C16RBA/8;209,99
173;Memória Kingston Fury Beast, 32GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/32;569,99
174;Memória ADATA Premier, 16GB, 3200MHz, DDR4 - AD4S320016G22 SGN 5271;250,75
175;Memória Crucial, 8GB, 3200MHz, DDR4, CL22 - CT8G4DFRA32A;149,99
176;Memória Patriot, 4GB, 2666MHz, Para Desktop - PSD44G266681;64,45
177;Memória Kingston, 8GB, 2666MHz, DDR4, CL19 - KVR26N19S8/8;121,84
178;Memória XPG Spectrix D60G, RGB, 16GB (2x8GB), 3600MHz, DDR4, CL18, Cinza - AX4U36008G18I-DT60;469,99
