ID;Descrição;Preço em R$
89;Placa Mãe Bluecase B75, DDR3, LGA 1155, Rede 1000, M.2 USB, 3.0 HDMI;239,80
90;Placa-Mãe Biostar B660mx-E, Intel,  LGA 1700, M.2, DDR4, DVI + HDMI + VGA;651,55
91;Placa Mãe Gigabyte Z790 Aorus Elite X R1.0, DDR5, LGA1700;2.726,07
92;Placa-Mãe Asus TUF G Z690-PLUS D4, Intel 12ª Geração - 90MB18U0-C1BAY0;1.749,00
93;Placa Mãe Asus Prime H510m-k R2.0 Lga 1200 - 90mb1e80-m0eay0;504,30
94;Placa Mae Reference H81-gm2, Gigabit, M.2, LGA 1150, Matx, DDR3;283,14
95;Placa Mãe Gigabyte H410m H V3, Intel, LGA 1200, Matx, DDR4, Chipset H510;523,79
96;Placa Mãe Asus Prime B760m-a D4, DDR4, Microatx, Lga1700;1.265,65
97;Placa-Mãe Brazil PC, AMD FM2/ FM2+, mATX, DDR3, OEM - BPC-A88M;193,76
98;Placa Mãe H55 Brazilpc Bpc-h55-nt Socket 1156 Rede 10/100/1000;175,00
99;Placa Mãe Brx H61, Intel 2ª/3ª Geração, DDR3, Socket LGA1155;200,21
100;Placa Mãe Gigabyte B760m DS3h, DDR4, LGA1700, Micro ATX;849,15
101;Placa Mãe Gigabyte B760m Gaming X, Intel LGA1700, Microatx, DDR4;1.581,90
102;Placa Mae Intel 1151 H110 M.2 2xDDR4 HDMI/VGA 6º 7º E 8º G G-h110 Revenger;479,90
103;Placa-Mãe AsRock, AMD FM2+ Radeon, DG3+ - FM2A68-M;354,51
104;Placa-Mãe AsRock, Intel 1151, 2xDDR4, HDMI, DVI e VGA, 9ª Geração - H370M-HDV;375,00
105;Placa Mae MSI A320m-a PRO, AMD AM4, DDR4, ATE 64GB, DVI/HDMIi U;425,44
106;Placa Mãe Afox, Am4 Ddr4 HDMI Vga Dvi M.2 - B550-ma-v2;478,71
107;Placa Mãe Afox Ih510-ma2-v2, Lga 1200, Ddr4 HDMI Vga Dvi M.2;668,90
108;Placa Mãe Asus, AMD AM5, Chipset B650, M-ATX, Ddr5 - Prime B650m-a Ii;1.774,50
109;Placa-Mãe Gigabyte Z790 Aorus Elite, Chipset Z790, Intel LGA 1700, ATX,DDR5, 9MZ79ELT5-00-10;2.299,00
110;Placa-Mãe Gigabyte H410M H V3 1.0 Ultra, Intel 1200, mATX, DDR4, Durable 2x;550,47
111;Placa Mãe Afox, Am4 Ddr4 HDMI Vga M.2 - B550-ma-v4;395,01
112;Placa-Mãe Msi B450m-A Pro Max, AMD AM4 - 911-7c52-030;517,70
113;Placa Mãe Asus ROG STRIX Z690-I GAMING WIFI, Intel 1700 Z690, DDR5, Mini ITX - 90MB1910-M0EAY0;3.499,99
114;Placa Mãe Asus Prime Z790-p, Intel LGA1700, ATX, DDR5 M.2;2.235,00
115;Placa-Mãe Msi Mag B760m Mortar Wi-Fi, Intel LGA 1700, DDR4 - 911-7e01-008;1.619,90
116;Placa Mãe Keepdata H55-kdg Socket,LGA 1156, VGA,DDR3,Suporta Intel Core I7,I5,I3;311,43
117;Placa Mãe Msi B450m Pro-Vdh Max, AMD AM4, Matx, DDR4, Chipset B450 - 911-7a38-063;634,41
118;Placa-Mãe Gigabyte H610M H, Intel LGA 1700 mATX, DDR4;673,11
