ID;Descrição;Preço em R$
219;Kit Cooler FAN com 3 Unidades GAMDIAS Aelous, 120mm, RGB, Lite - M2-1203;122,32
220;Cooler Para Processador Intel, Para CPU - E97379-003;39,60
221;Water Cooler Deepcool Castle 240RGB V2, 240mm, AMD, Preto - DP-GS-H12AR-CS240V2;459,99
222;Kit De Fan Lian Li Uni Fan Sl120 Redragon Spec - Preto;464,77
223;Water Cooler Asus ROG RYUO III 360, ARGB White Edition, 360mm, AMD e Intel, para PC - 90RC00I2-M0UAY0;1.899,99
224;Cooler FAN OEX F50, 120mm, LED Branco;36,78
225;Cooler para Processador Cooler Master Hyper 212 Spectrum, AMD / Intel, RGB - RR-212A-20PD-R1;169,99
226;Cooler 120mm Cooler Master Masterfan Mf120 Halo, LED ARGB, Preto - Mfl-b2dn-21np2-r2;120,00
227;Kit Cooler Fan 3 unidades Lian Li Bora Digital, 120mm, RGB, Silver;249,99
228;Pasta Térmica, Mastergel, Regular 4g - MGX-ZOSG-N15M-R2;37,32
229;Cooler Fan Noctua, 120mm, Preto e Marrom - NF-F12 iPPC 3000 IP67 24V Q100 PWM;259,99
230;Cooler Fan Corsair iCUE SP140 Elite Performance, RGB, 140mm, Preto - CO-9050110-WW;109,99
231;Cooler FAN Corsair iCUE AF120 ELITE 120mm RGB, Branco - Rolamento Fluidodinâmico - Compatível com Software CORSAIR iCUE - CO-9050157-WW;159,99
232;Kit Cooler FAN 3 Unidades Corsair AR120, 120mm, RGB, Compatível com ARGB, Preto - CO-9050167-WW;349,99
233;Water Cooler Cooler Master MasterLiquid ML360 Mirror, RGB, 360mm, AMD/Intel, Preto - MLX-D36M-A18PK-R1;749,99
234;Watercooler Draxen Halo R. 360mm, ArGB Albard, Amd E Intel;315,92
235;Cooler FAN Mymax Spectrum Ring, 120mm, LED Verde;8,71
236;Cooler FAN Corsair iCUE AF120 ELITE 120mm RGB, Preto - Oito LEDs RGB - Rolamento Fluido dinâmico - Compatível com Software CORSAIR iCUE - CO-9050153-WW;149,99
237;Pasta Térmica Cooler Master Mastergel Regular, 1.5ML, Cinza - MGX-ZOSG-N15M-R2;39,99
