ID;Descrição;Preço em R$
59;Processador Intel Core i7-12700, Cache 25MB, 2.1GHz (4.9GHz Max Turbo), LGA 1700 - BX8071512700;1.889,99
60;Processador Intel Core i7-13700KF, 13ª Geração, 5.4GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071513700KF;2.499,99
61;Processador Amd Ryzen 7 5700, 4.6GHZ, AM4, Cache 20MB, Wraith Stealth, Sem Vídeo - 100-100000743box;1.165,20
62;Processador AMD Ryzen 5 7600X, 5.3GHz, Cache 38MB, AM5, Radeon Graphics - 100-100000593WOF;1.599,90
63;Processador Intel Core i9-13900KF, 13ª Geração, 5.8GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700 - BX8071513900KF;3.498,99
64;Processador AMD Ryzen 9 5900X, 3.7GHz, Cache 70MB, AM4, 105W;3.669,90
65;Processador Intel Core i7-13700, 5.2GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700, Vídeo Integrado - BX8071513700;2.589,99
66;Processador Intel Core i9-13900K, 13ª Geração, 5.8GHz Max Turbo, Cache 36MB, 24 Núcleos, LGA 1700, Vídeo Integrado - BX8071513900K;3.499,99
67;Processador AMD Ryzen 9 7950X3D, 5.7GHz Max Turbo, Cache 144MB, AM5, 16 Núcleos, Vídeo Integrado - 100-100000908WOF;4.398,99
68;Processador AMD Ryzen 7 8700G, 3.5 GHz (5.0GHz Max Turbo), Cachê 6MB, 6 Núcleos, 12 Threads, AM5, Vídeo Integrado - 100-100001236BOX;1.899,99
69;Processador Intel Core I7-3770, 3.40GHz, Smart Cache 8MB, LGA 1155, 8 Threads, OEM;347,14
70;Processador Intel Core I3-10100, 3.60GHz (4.3GHz Turbo), Cache 6MB, LGA 1200 - BX8070110100;577,45
71;Processador Intel Core i5-12600K, 3.7GHz (4.9GHz Max Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071512600K;1.539,99
72;Processador Intel Core i7-12700K, 3.6GHz (5.0GHz Max Turbo), 12 Núcleos, 20 Threads, LGA 1700, Vídeo Integrado - BX8071512700K;1.898,99
73;Processador Intel Core i9-13900, 5.6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700, Vídeo Integrado - BX8071513900;3.799,99
74;Processador Intel Core i5-11600K 11ª Geração, 3.9 GHz (4.9GHz Turbo), Cache 12MB, 6 Núcleos, LGA 1200, Vídeo Integrado - BX8070811600K;1.289,99
75;Processador Intel Core I9 14900k, 14ª Geração, 3.6 GHZ (6.0 GHZ Turbo), Cache 36MB, Intel LGA1700 - BX8071514900K;4.274,45
